cod_evento,desc_evento,desc_evento2,img_evento
G,Goal,Goal,https://images.vexels.com/media/users/3/158409/isolated/lists/b0af06a4c1a8e7a31ce379250130d26c-silhueta-do-pentagono-de-bola-de-futebol.png
I,Substitute in,Substitute,https://icones.pro/wp-content/uploads/2021/06/icone-fleche-droite-verte.png
O,Substitute owen,Substitute,https://imagensemoldes.com.br/wp-content/uploads/2020/04/Seta-Vermelha-PNG.png
P,Penalty goal,Goal,https://images.vexels.com/media/users/3/249281/isolated/lists/1a2227c7a0b9a7e3ff05aac25d83c8c2-copaamerica-7.png
R,Red card,Card,https://upload.wikimedia.org/wikipedia/commons/e/e7/Red_card.svg
W,Own goal,,https://e7.pngegg.com/pngimages/389/319/png-clipart-football-ball-sport-wikimedia-commons.png
Y,Yellow card,Card,https://upload.wikimedia.org/wikipedia/commons/b/b1/Yellow_card.svg
MP,Penalty missed,,https://drive.google.com/file/d/1-pljDlpkbEqiMdjLfuBz6PZTIxbEt7ms/view?usp=sharing
IH,Substitute in,Substitute,https://icones.pro/wp-content/uploads/2021/06/icone-fleche-droite-verte.png
OG,Own goal,,https://e7.pngegg.com/pngimages/389/319/png-clipart-football-ball-sport-wikimedia-commons.png
OH,Substitute owen,Substitute,https://imagensemoldes.com.br/wp-content/uploads/2020/04/Seta-Vermelha-PNG.png
SY,2nd Yellow,Card,https://img1.gratispng.com/20180414/wge/kisspng-red-yellow-card-penalty-card-association-football-playing-card-5ad1e21f521a71.4849363515237043513363.jpg
RSY,Red card / 2nd Yellow,Card,https://upload.wikimedia.org/wikipedia/commons/e/e7/Red_card.svg
